Scrip,Magic Lin
ABL,205
ABOT,1310
ACPL,310
ADMM,55.7
AGHA,9.78
AGIL,147.75
AGP,206
AGTL,425
AIRLINK,176
AKBL,93.2
APL,577
ARPL,485
ASL,14.3
ASTL,27
ATBA,279
ATLH,1430
ATRL,753
AVN,52
BAFL,118
BAHL,217
BBFL,55
BERG,122
BFBIO,173
BGL,17
BIFO,185
BIPL,45
BOP,36.5
BUXL,176
BWCL,660
BWHL,201
CEPB,29.5
CHCC,364
COLG,1322
CPHL,99
CPPL,117.5
CSAP,108
DGKC,277
DHPL,47
DOL,41
DYNO,341
EFERT,239
ENGROH,252
EPCL,32
EPQL,31
EXIDE,709
FABL,94.5
FCCL,60.8
FCEPL,90.38
FECTC,117
FEROZ,410
FFC,491
FFL,24
FLYNG,52
FML,77.3
GAL,604.5
GATM,39
GHNI,874
GLAXO,462
GTYR,43.5
GWLC,77.6
HALEON,929
HBL,317.5
HCAR,321
HMB,125.5
HTL,51.5
HUBC,237.5
HUMNL,16.5
ICL,129.5
IDYM,175
ILP,75.2
IMAGE,28.7
INDU,2269
INIL,233
ISL,127
KAPCO,36
KOHC,110.5
KSB,226
LCI,336
LOTCHEM,28.5
LPL,28.3
LUCK,467.5
MARI,752
MCB,373
MEBL,465
MLCF,112
MTL,555
MUGHAL,86
NATF,373.5
NBP,227
NCL,46.3
NCPL,26
NETSOL,153
NML,163
NPL,37.5
NRL,436
OCTOPUS,56.85
OGDC,271
PABC,163
PAEL,58.5
PIOC,252.5
PKGS,725
PNSC,519
POL,737
PPL,204.5
PREMA,51
PRL,40.8
PSO,494
PSX,41
PTL,58
SAZEW,1999
SCB,72
SEARL,111
SEPL,198
SHFA,560
SNGP,131
SPEL,68.5
SPWL,11
SSGC,46.5
STCL,19.5
SYS,163.5
TELE,10.9
TGL,257
THCCL,90
TOMCL,74.5
TOWEL,185
TRG,80
UBL,412
RPL,20
GADT,41.5
CRTM,24.7
LOADS,19.5
JVDC,81
FCL,25
ANL,13.3
KOSM,8
KOHE,21
FATIMA,148
TREET,30.5
DCR,33
WAVES,13
FNEL,13.5
SYM,16.3
WAFI,203
LIVEN,73.8
BNL,148
WASL,8
AHCL,17.6
